# period, rho, phi
1000.000000,672.606704,58.549605
922.197882,608.306591,59.809326
850.448934,582.451071,51.889540
784.282206,759.889963,51.973112
723.263390,766.163277,54.047561
666.991966,703.070452,45.125562
615.098579,749.880041,51.254484
567.242607,784.902079,44.369849
523.109931,728.598150,45.908842
482.410870,833.121165,46.968849
444.878283,785.876919,49.132508
410.265811,859.196116,41.451990
378.346262,781.135099,37.200636
348.910121,680.147504,37.346078
321.764175,713.310999,39.634498
296.730241,622.688338,37.292171
273.644000,585.111392,35.117495
252.353917,590.746865,35.934027
232.720248,546.319618,36.605413
214.614120,726.260007,31.086010
197.916687,530.093030,30.662873
182.518349,539.391442,36.589288
168.318035,510.271120,29.698324
155.222536,560.252753,34.347820
143.145894,502.269043,31.352090
132.008840,476.208740,28.810657
121.738273,384.776093,31.542550
112.266777,434.657718,31.185724
103.532184,481.880294,29.567197
95.477161,437.728717,30.306465
88.048836,381.065782,32.920936
81.198450,406.362967,27.160575
74.881039,396.786551,27.355919
69.055135,438.441915,28.777034
63.682499,442.499858,21.712478
58.727866,278.420631,29.376704
54.158714,349.360853,28.348133
49.945051,316.005298,22.321800
46.059220,307.915351,28.345788
42.475716,317.493666,26.801190
39.171015,280.717257,25.506277
36.123427,290.671130,25.454267
33.312948,278.121312,24.538329
30.721130,240.044586,26.162014
28.330961,261.691028,25.581242
26.126752,281.658029,21.969071
24.094036,215.214771,22.728527
22.219469,234.121619,22.280822
20.490747,201.927329,23.136883
18.896523,188.963670,24.354525
17.426334,187.419749,24.547939
16.070528,197.960391,21.844953
14.820207,151.615783,23.388574
13.667164,183.322567,18.512329
12.603829,154.906993,21.216955
11.623225,126.199279,23.322636
10.718913,161.393977,17.891477
9.884959,142.384272,17.690270
9.115888,127.434304,17.594016
8.406653,147.049775,18.849254
7.752597,116.951615,18.592603
7.149429,138.720609,20.510782
6.593188,83.444918,24.617446
6.080224,127.249607,17.852170
5.607170,82.204382,22.743646
5.170920,87.949622,18.935207
4.768612,72.960482,22.445982
4.397604,90.432419,17.783279
4.055461,81.763003,17.523799
3.739937,82.019369,19.043805
3.448962,67.538486,20.472369
3.180626,75.098678,20.466593
2.933166,67.198145,20.396208
2.704960,60.480312,22.196631
2.494508,58.646675,22.506892
2.300430,48.165481,18.720015
2.121452,60.682673,24.590989
1.956398,50.632976,22.610851
1.804186,44.548357,24.204559
1.663817,42.119286,22.893818
1.534368,37.416731,24.822363
1.414991,40.371965,25.608854
1.304902,39.952404,26.310905
1.203378,41.100826,27.138987
1.109752,42.484792,22.292632
1.023411,32.377578,33.893512
0.943788,42.513912,26.901253
0.870359,31.285681,32.558728
0.802643,34.851355,31.160321
0.740196,31.587287,33.608549
0.682607,26.244116,40.772473
0.629499,32.723393,40.107734
0.580523,27.079401,38.672708
0.535357,30.233800,40.538034
0.493705,28.727354,41.842198
0.455294,31.857469,42.320953
0.419871,35.599081,43.761615
0.387204,26.368543,41.253297
0.357079,31.347441,47.591797
0.329297,34.081256,49.711657
0.303677,31.711487,53.073881
0.280050,36.062478,56.689064
0.258262,24.008198,51.431431
0.238169,26.770639,55.309148
0.219639,39.036471,60.544482
0.202550,29.315514,52.763115
0.186791,35.716434,52.216659
0.172259,38.794238,60.845431
0.158857,37.901588,54.787401
0.146497,43.437621,54.937193
0.135099,47.379176,55.719993
0.124588,47.097991,55.332339
0.114895,56.909515,65.119610
0.105956,44.788418,59.309788
0.097712,46.288470,59.712452
0.090110,52.623719,58.604527
0.083099,66.361581,60.684792
