# periods, rho, phi
1000.000000,301.093976,41.824498
932.930403,258.720412,43.174230
870.359136,259.965570,38.460654
811.984499,286.682462,38.884959
757.525026,264.879821,40.868519
706.718127,257.427108,36.093007
659.318827,242.355946,40.515541
615.098579,250.968258,37.082242
573.844165,228.770655,38.863423
535.356668,240.621447,40.385265
499.450512,225.756540,42.636947
465.952567,241.979041,38.788122
434.701316,227.114603,37.056710
405.546074,207.621117,38.042392
378.346262,215.009964,40.310603
352.970730,198.987674,39.620381
329.297126,192.988852,38.971663
307.211300,197.781710,40.151468
286.606762,192.661720,41.157840
267.384162,229.370055,37.978901
249.450814,191.402991,38.152403
232.720248,204.332311,42.472128
217.111795,193.438771,38.036975
202.550194,215.763345,41.457176
188.965234,201.197098,39.462612
176.291412,194.495158,37.720330
164.467618,176.437164,39.617814
153.436841,192.447078,39.383865
143.145894,205.779069,38.209282
133.545156,196.934784,38.693805
124.588336,185.750760,40.450472
116.232247,187.532513,36.343326
108.436597,186.782484,36.463809
101.163798,203.179193,37.509134
94.378783,195.203761,32.080719
88.048836,156.563622,37.912242
82.143436,180.517077,37.275534
76.634109,163.236869,32.815880
71.494290,170.363419,37.378333
66.699197,173.505151,36.308161
62.225708,160.754122,35.386355
58.052255,166.178901,35.406429
54.158714,162.317863,34.752413
50.526311,152.057878,36.031005
47.137531,161.713803,35.662119
43.976036,166.016245,32.795907
41.026581,142.971716,33.467276
38.274945,151.919767,33.110082
35.707860,141.381650,33.808174
33.312948,138.951722,34.769438
31.078662,140.231436,34.928241
28.994229,143.153509,32.725158
27.049597,124.578704,33.907798
25.235392,135.204725,29.791063
23.542864,126.453403,32.054588
21.963854,115.012050,33.649739
20.490747,128.441401,29.006589
19.116441,119.802122,28.751644
17.834309,112.892468,28.566317
16.638169,126.357964,29.475322
15.522254,110.169876,29.120692
14.481182,126.270538,30.603166
13.509935,96.053913,33.568596
12.603829,118.689438,27.821075
11.758496,94.773361,31.654983
10.969858,96.283509,28.298076
10.234114,88.734158,30.819364
9.547716,98.291641,26.704807
8.907355,92.587827,26.177000
8.309942,94.256738,27.070450
7.752597,84.514259,27.842325
7.232634,90.608787,27.421488
6.747544,84.585697,26.932034
6.294989,79.979808,27.842022
5.872787,78.546309,27.583452
5.478901,68.404151,24.383344
5.111433,80.726471,28.060978
4.768612,71.349273,26.100855
4.448783,65.899844,26.648671
4.150405,63.269354,25.242863
3.872039,58.679654,25.948686
3.612343,61.203900,25.869792
3.370064,60.446686,25.732655
3.144035,61.120307,25.655193
2.933166,62.486492,22.175348
2.736440,50.819135,28.422068
2.552908,61.328277,23.805031
2.381686,48.895726,26.521917
2.221947,52.139185,25.200005
2.072922,47.814474,26.030798
1.933892,40.059710,29.326696
1.804186,45.452437,28.525650
1.683180,40.178014,27.297765
1.570290,41.660943,27.843256
1.464971,39.130695,28.145609
1.366716,40.806117,28.036817
1.275051,42.308967,28.478372
1.189534,35.150414,27.021054
1.109752,35.556227,30.108158
1.035322,35.547447,31.146552
0.965883,31.486410,33.003939
0.901102,31.328441,35.265072
0.840665,25.737890,32.095232
0.784282,25.173293,34.460071
0.731681,28.154311,38.219249
0.682607,25.998210,33.449591
0.636825,28.704157,33.404274
0.594113,25.418765,39.434399
0.554266,26.792874,35.876280
0.517092,28.179073,36.495661
0.482411,28.454461,37.621066
0.450056,27.557014,38.065828
0.419871,25.909640,46.051733
0.391710,23.668353,42.407172
0.365438,23.349681,43.589991
0.340929,24.952853,43.770535
0.318063,27.474735,46.321809
0.296730,22.776924,44.110125
0.276829,22.335955,47.491982
0.258262,23.995553,51.281972
0.240940,23.891105,48.872536
0.224781,23.155911,47.463306
0.209705,25.597653,52.570197
0.195640,25.748284,49.803623
0.182518,26.035988,47.791552
0.170277,25.994002,53.117176
0.158857,28.383601,60.093888
0.148202,26.328932,52.539428
0.138262,31.665245,53.362621
0.128989,28.442561,54.521061
0.120338,27.055036,54.306283
0.112267,30.801453,55.658320
0.104737,34.727088,59.082926
0.097712,33.658019,58.269158
0.091159,32.296557,57.478574
0.085045,39.867939,60.074345
0.079341,39.300857,59.795951
0.074020,34.244910,60.014274
0.069055,41.186269,63.509172
0.064424,44.404961,62.496622
0.060103,39.611675,61.200177
0.056072,46.573141,61.885118
0.052311,45.833425,61.184942
0.048803,47.455303,61.226395
0.045529,47.696465,62.469008
0.042476,50.098409,61.063307
0.039627,50.454329,59.283967
0.036969,53.187065,60.258385
0.034490,60.569342,60.674926
0.032176,59.879131,61.784497
0.030018,57.747506,54.927227
0.028005,57.475196,58.943532
0.026127,72.313160,60.787101
0.024374,63.585732,56.977576
0.022740,67.143679,55.683343
0.021215,74.553500,55.585608
