# periods, rho, phi
10000.000000,946.365117,61.453955
9772.090590,814.846658,64.541487
9549.375450,704.492889,57.108777
9331.736198,973.261360,59.255960
9119.057149,1009.801079,63.180721
8911.225255,800.569417,54.852714
8708.130046,985.220752,63.387811
8509.663568,949.596528,57.557413
8315.720328,933.986488,60.808282
8126.197237,1201.061409,63.335981
7940.993555,1262.249213,66.675935
7760.010840,1254.211513,60.239546
7583.152891,1064.492989,56.675771
7410.325701,976.607654,58.015185
7241.437405,1222.468528,61.624820
7076.398232,1046.873924,59.988652
6915.120458,982.579326,58.283629
6757.518355,1124.874573,59.954073
6603.508153,1145.365667,61.287988
6453.007989,1435.942941,55.083814
6305.937864,1034.178373,54.808445
6162.219607,1444.904176,62.160447
6021.776823,1102.184092,53.885939
5884.534863,1597.001634,59.764425
5750.420776,1320.514403,56.117344
5619.363276,1181.263692,52.564130
5491.292699,1069.197159,56.189731
5366.140971,1293.800710,55.528059
5243.841569,1447.454589,53.177873
5124.329485,1388.254596,54.038124
5007.541194,1355.837066,57.325533
4893.414618,1226.853805,49.313511
4781.889094,1257.998668,49.568020
4672.905342,1576.283126,51.641760
4566.405432,1273.545004,40.325661
4462.332756,1011.621541,52.730695
4360.631993,1359.819180,51.313182
4261.249087,995.007209,41.639756
4164.131210,1294.665710,51.691887
4069.226741,1336.702424,49.613797
3976.485235,1151.800217,47.846987
3885.857395,1272.495994,48.020494
3797.295048,1230.303606,46.804578
3710.751121,1163.569290,49.693086
3626.179611,1343.695906,49.013202
3543.535565,1343.861838,43.243922
3462.775055,1054.487008,44.829324
3383.855153,1223.293325,44.330154
3306.733910,1123.695829,46.107625
3231.370333,1163.293230,48.432660
3157.724362,1238.394729,48.984700
3085.756853,1252.454021,44.610601
3015.429550,1026.324162,47.615835
2946.705073,1115.855063,38.684773
2879.546892,1086.899676,44.162673
2813.919309,988.662391,48.165857
2749.787440,1119.766011,37.987812
2687.117197,1010.741511,37.659665
2625.875267,932.461261,37.530777
2566.029099,1255.644518,40.304315
2507.546881,993.295906,39.776303
2450.397528,1422.446212,43.516724
2394.550663,975.500833,50.821668
2339.976600,1281.390467,38.170984
2286.646331,985.579307,47.351006
2234.531510,955.040985,39.944643
2183.604434,936.347173,46.342389
2133.838034,1055.667015,37.000441
2085.205857,974.238684,36.025861
2037.682054,1097.710279,38.681161
1991.241362,961.291115,40.870682
1945.859098,1151.557658,40.230214
1901.511138,1049.746182,39.392335
1858.173910,1030.811231,41.873685
1815.824378,1046.754463,41.547864
1774.440032,751.953002,33.481664
1733.998874,1264.184977,43.035400
1694.479408,986.481439,38.681689
1655.860627,914.526925,40.191235
1618.122006,852.750680,36.743827
1581.243482,799.756377,38.625513
1545.205455,926.775425,38.527975
1509.988769,958.064929,38.197664
1475.574704,1038.575516,37.991624
1441.944968,1036.547668,29.175388
1409.081686,906.248323,44.385800
1376.967388,1179.370544,33.168186
1345.585005,881.490382,39.254839
1314.917857,1016.618012,35.749103
1284.949642,935.361942,37.284560
1255.664430,781.728259,44.796520
1227.046656,1031.249431,42.103790
1199.081108,820.044216,38.577654
1171.752922,948.029941,39.193773
1145.047570,891.963552,39.090063
1118.950858,1016.673062,38.025539
1093.448915,1156.969898,38.160666
1068.528186,821.599173,33.486590
1044.175423,949.994121,39.624741
1020.377682,1017.173953,40.724590
997.122315,874.073388,43.543681
974.396959,947.533135,46.878951
952.189535,611.711190,38.707953
930.488240,636.492328,42.609931
909.281537,890.550142,48.618184
888.558155,723.039435,37.031661
868.307079,916.420802,35.520216
848.517544,788.636720,46.279754
829.179030,870.528364,37.174789
810.281260,991.850057,36.778841
791.814188,1040.221135,37.260337
773.767997,1003.830637,36.331618
756.133096,908.361575,49.990802
738.900112,764.205651,41.034821
722.059883,748.415176,41.463798
705.603459,864.145796,39.847777
689.522092,1023.898636,42.793690
673.807235,733.449976,36.569905
658.450534,670.754448,41.471854
643.443826,729.798993,47.310596
628.779136,751.450356,40.331539
614.448668,730.468825,35.578733
600.444805,782.694519,44.113559
586.760102,847.173291,36.715047
573.387288,922.683289,31.339074
560.319252,763.393369,39.878270
547.549049,716.954492,53.777353
535.069891,779.135254,35.399772
522.875144,1062.913132,35.797885
510.958328,808.442151,36.424566
499.313107,722.085954,34.435999
487.933291,856.544343,36.038109
476.812832,892.836905,41.987765
465.945819,841.381001,39.030945
455.326476,777.216097,36.166446
444.949157,980.614128,40.749114
434.808347,923.928663,39.230056
424.898655,656.994940,38.868196
415.214815,739.547544,46.510113
405.751679,852.499056,43.149611
396.504216,684.567637,39.671555
387.467512,847.840258,40.789777
378.636763,796.669057,38.923810
370.007275,788.038321,38.886244
361.574461,678.084204,41.941962
353.333839,750.249279,38.671945
345.281028,777.959532,34.986907
337.411748,741.353534,37.565114
329.721817,851.862962,39.066454
322.207147,710.565813,42.469849
314.863743,896.125294,28.873753
307.687702,633.749086,37.734765
300.675209,827.959045,42.861562
293.822538,715.338246,35.731895
287.126046,776.987583,34.346890
280.582173,875.313146,35.508118
274.187442,848.009624,32.205354
267.938452,1115.088629,32.472856
261.831882,799.456123,35.506819
255.864487,626.452595,36.883307
250.033095,680.219837,35.338503
244.334606,715.654300,34.067136
238.765990,841.106607,37.944292
233.324288,729.406784,42.232580
228.006608,765.368641,40.662592
222.810123,823.337957,38.616269
217.732071,625.127305,39.400754
212.769752,827.634462,31.412171
207.920529,455.513310,36.947065
203.181825,413.624911,37.951981
198.551120,737.831911,40.999046
194.025953,680.790596,38.515265
189.603919,691.593653,36.629893
185.282667,674.709195,36.205875
181.059901,684.672973,31.633651
176.933375,834.778304,35.834865
172.900897,712.073543,38.658643
168.960323,601.044810,36.369945
165.109558,689.134523,34.870348
161.346556,611.302245,35.083046
157.669316,674.598373,39.713325
154.075884,534.503070,42.563523
150.564350,685.176011,38.053989
147.132846,608.407109,25.987060
143.779550,733.842532,34.623835
140.502679,644.529476,33.863593
137.300491,720.559739,31.849650
134.171284,858.073099,32.035353
131.113394,828.963515,27.940605
128.125196,541.493227,42.145128
125.205102,726.386789,32.688836
122.351560,502.051149,37.982830
119.563053,688.716951,32.505412
116.838099,620.599144,34.324454
114.175248,536.560139,35.557599
111.573087,594.282188,43.116975
109.030231,607.585019,36.788755
106.545330,574.198414,39.160239
104.117061,514.007138,42.208565
101.744136,705.094282,39.263027
99.425291,514.221205,37.838569
97.159295,692.645900,35.885219
94.944943,576.640414,35.018239
92.781059,414.775899,37.724473
90.666491,682.878741,35.055644
88.600116,657.029359,39.223821
86.580836,752.071254,28.987345
84.607578,358.197024,35.290822
82.679291,567.487717,38.102970
80.794953,545.733804,26.425827
78.953560,622.279559,37.501178
77.154134,523.291496,31.719739
75.395718,760.600795,28.116055
73.677379,544.665269,34.751590
71.998202,555.028079,31.272702
70.357295,705.034346,32.126266
68.753786,627.348452,29.931988
67.186823,652.122883,29.280630
65.655572,625.142408,33.406566
64.159220,676.406616,34.203149
62.696971,535.787324,26.280621
61.268048,500.100008,38.435680
59.871691,525.322775,33.474982
58.507159,502.834873,36.395764
57.173726,547.910460,36.036215
55.870683,522.080911,35.524414
54.597337,558.728782,27.753381
53.353013,585.893372,26.299131
52.137047,478.069792,35.044068
50.948795,452.484572,30.955716
49.787624,459.485171,29.021550
48.652917,605.680391,29.652399
47.544072,495.103923,30.448948
46.460497,582.847034,33.487610
45.401619,550.380727,27.059492
44.366873,548.526543,28.106162
43.355711,524.241097,35.076834
42.367593,443.638435,29.847431
41.401996,322.564528,31.556734
40.458405,494.848156,27.002694
39.536320,487.172071,25.709077
38.635250,433.602787,33.258940
37.754717,591.097725,27.561471
36.894251,593.183800,30.439578
36.053396,516.417620,24.719695
35.231706,462.163813,30.901705
34.428742,433.496060,31.162789
33.644078,331.544720,31.016728
32.877298,440.487327,22.056162
32.127994,369.362802,31.552402
31.395766,332.224012,33.476890
30.680227,376.280902,29.765223
29.980996,416.371031,29.435774
29.297701,391.497776,29.862237
28.629979,394.763562,30.975077
27.977475,542.266131,24.885184
27.339842,406.203303,24.703961
26.716741,444.516147,24.487587
26.107841,368.160014,31.068436
25.512819,435.889027,29.662975
24.931358,489.036065,23.246374
24.363149,436.946592,30.982615
23.807890,468.304487,26.692029
23.265285,465.914623,23.057362
22.735048,450.173047,28.670798
22.216895,476.748761,21.870300
21.710551,369.708217,28.271378
21.215747,352.240828,26.436928
20.732220,408.411124,24.302205
20.259713,277.310672,32.129966
19.797975,329.950992,25.616034
19.346761,292.071438,32.771184
18.905830,221.741069,27.650926
18.474948,355.969076,29.414711
18.053887,414.734225,20.807603
17.642422,318.461122,22.682877
17.240334,384.759309,20.431556
16.847411,345.629696,28.195490
16.463442,343.833992,29.211973
16.088225,292.159363,28.313204
15.721559,375.576989,23.214091
15.363250,411.670999,23.520465
15.013107,297.766824,37.970793
14.670944,355.405699,23.830295
14.336580,248.946185,28.494737
14.009836,296.410538,27.215023
13.690538,349.986114,27.665003
13.378518,318.365276,25.325812
13.073609,319.720626,23.342774
12.775649,301.692419,27.084937
12.484480,329.395583,21.367591
12.199947,240.482721,26.597369
11.921899,348.078438,21.721201
11.650188,369.513870,19.214701
11.384669,269.048387,18.053572
11.125201,249.573044,24.373699
10.871648,316.978967,25.993347
10.623873,288.214756,26.437456
10.381745,309.768172,24.076445
10.145135,258.670053,27.269065
9.913918,222.598327,26.801179
9.687970,216.519988,24.144593
9.467172,194.431978,25.311829
9.251406,269.274440,22.132661
9.040558,209.726675,29.227703
8.834515,270.717778,24.105717
8.633168,274.740450,19.904655
8.436410,163.589468,25.161920
8.244137,285.550005,18.290095
8.056245,266.741671,19.717700
7.872636,238.423051,17.924773
