# periods, rho, phi
10000.000000,889.056939,62.157398
9115.888300,909.165276,60.597159
8309.941949,929.040872,57.933125
7575.250259,980.055118,56.097544
6905.513520,995.831816,54.620025
6294.988990,991.577246,51.848470
5738.441648,1002.158637,50.925948
5231.099308,1002.292486,48.511437
4768.611698,983.382439,47.254951
4347.013158,984.505211,46.053627
3962.688639,957.718832,45.131067
3612.342700,946.952978,43.122381
3292.971255,910.818932,41.699124
3001.835814,871.694492,41.001202
2736.439997,853.761617,40.708062
2494.508135,816.427342,39.973243
2273.965752,788.457184,39.397407
2072.921780,770.588810,39.308527
1889.652340,746.855379,39.292635
1722.585965,755.990886,38.532344
1570.290125,713.527969,38.525219
1431.458938,708.994194,39.373057
1304.901978,690.849495,38.485825
1189.534067,696.452549,39.187557
1084.365969,678.896645,38.755853
988.495905,667.451053,38.360319
901.101825,648.676366,38.650027
821.434358,654.058716,38.489814
748.810386,657.274521,38.093722
682.607183,645.395330,37.996543
622.257084,631.311220,38.118194
567.242607,626.094217,37.045739
517.092024,618.439483,36.802737
471.375313,621.475265,36.737806
429.700470,607.937001,35.327966
391.710149,573.802888,36.214748
357.078596,581.464854,35.800721
325.508860,561.299425,34.617754
296.730241,556.624140,35.194421
270.495973,549.467053,34.661598
246.581108,531.769787,34.147718
224.780583,525.526378,33.814780
204.907469,513.217267,33.340453
186.791360,496.240596,33.233813
170.276917,492.093970,32.808985
155.222536,484.821794,31.871131
141.499130,459.834839,31.637724
128.989026,454.732271,31.186442
117.584955,437.262001,30.934735
107.189132,424.532507,30.724496
97.712415,414.159350,30.360782
89.073546,405.415567,29.541065
81.198450,382.992242,29.349260
74.019600,379.188585,28.175086
67.475441,362.410650,28.193008
61.509858,344.208716,28.062723
56.071699,342.022811,26.804758
51.114335,326.295678,26.357485
46.595257,311.630332,25.922366
42.475716,307.504262,25.669002
38.720388,288.458695,25.210121
35.297073,285.237987,25.081459
32.176418,258.687901,25.170953
29.331663,261.314482,23.791322
26.738416,238.546697,24.079273
24.374442,230.476985,23.142792
22.219469,216.550253,23.200982
20.255019,212.669080,22.163339
18.464249,201.051780,21.747540
16.831804,192.575383,21.578862
15.343684,179.600081,21.409652
13.987131,173.797942,21.057465
12.750512,163.388960,20.715178
11.623225,153.566927,20.624335
10.595602,145.583624,20.366125
9.658832,135.196410,19.675965
